1;Kenyér;8;650;5200;
1;Tej;8;325;2600;
1;Alma;8;200;1600;
2;Kenyér;11;650;7150;
2;Tej;11;325;3575;
2;Alma;11;200;2200;
3;Kenyér;14;650;9100;
3;Tej;14;325;4550;
3;Alma;14;200;2800;
4;Kenyér;17;650;11050;
4;Tej;17;325;5525;
4;Alma;17;200;3400;
5;Kenyér;5;650;3250;
5;Tej;5;325;1625;
5;Alma;5;200;1000;
6;Kenyér;8;650;5200;
6;Tej;8;325;2600;
6;Alma;8;200;1600;
7;Kenyér;11;650;7150;
7;Tej;11;325;3575;
7;Alma;11;200;2200;
8;Kenyér;14;650;9100;
8;Tej;14;325;4550;
8;Alma;14;200;2800;
9;Kenyér;17;650;11050;
9;Tej;17;325;5525;
9;Alma;17;200;3400;
10;Kenyér;5;650;3250;
10;Tej;5;325;1625;
10;Alma;5;200;1000;
11;Kenyér;8;650;5200;
11;Tej;8;325;2600;
11;Alma;8;200;1600;
12;Kenyér;11;650;7150;
12;Tej;11;325;3575;
12;Alma;11;200;2200;
13;Kenyér;14;650;9100;
13;Tej;14;325;4550;
13;Alma;14;200;2800;
14;Kenyér;17;650;11050;
14;Tej;17;325;5525;
14;Alma;17;200;3400;
15;Kenyér;5;650;3250;
15;Tej;5;325;1625;
15;Alma;5;200;1000;
16;Kenyér;8;650;5200;
16;Tej;8;325;2600;
16;Alma;8;200;1600;
17;Kenyér;11;650;7150;
17;Tej;11;325;3575;
17.Alma;11;200;2200;
18;Kenyér;14;650;9100;
18;Tej;14;325;4550;
18;Alma;14;200;2800;
19;Kenyér;17;650;11050;
19;Tej;17;325;5525;
19;Alma;17;200;3400;
20;Kenyér;5;650;3250;
20;Tej;5;325;1625;
20;Alma;5;200;1000;
21;Kenyér;8;650;5200;
21;Tej;8;325;2600;
21;Alma;8;200;1600;
22;Kenyér;11;650;7150;
22;Tej;11;325;3575;
22;Alma;11;200;2200;
23;Kenyér;14;650;9100;
23;Tej;14;325;4550;
23;Alma;14;200;2800;
24;Kenyér;17;650;11050;
24;Tej;17;325;5525;
24;Alma;17;200;3400;
25;Kenyér;5;650;3250;
25;Tej;5;325;1625;
25;Alma;5;200;1000;
